"","Season","Week","Team","R","HR","RBI","SB","OBP","SLG","K","QS","W","SV","ERA","WHIP"
"92",2011,8,"Team Mitchell",33,6,29,10,0.3237,0.3936,44,3,2,3,4.959,1.49
"93",2011,8,"Kansas Sleazy",45,11,41,10,0.3981,0.4888,47,3,4,1,6.409,1.652
"94",2011,8,"KC Black Stars",32,8,34,6,0.3493,0.4071,53,4,1,4,6.136,1.561
"95",2011,8,"StraightEdge Racers",28,3,21,9,0.3021,0.3611,50,6,4,5,2.829,1.157
"96",2011,8,"$1 Hot Dog Night",49,9,47,5,0.3473,0.4597,55,7,3,1,5.121,1.384
"97",2011,9,"The Green Monsters",47,16,38,12,0.3379,0.513,52,6,7,1,3.306,1.209
"98",2011,9,"Have You Seen My Baseball?",36,11,30,6,0.3419,0.4733,58,5,4,2,3.817,1.257
"99",2011,9,"Over The Baggy",30,7,33,3,0.3346,0.4321,52,1,3,8,6.371,1.551
"100",2011,9,"Rage Against  The MaSHEEN!",42,12,45,9,0.3145,0.4416,65,7,3,1,3.719,1.393
"101",2011,9,"Team Mitchell",22,8,43,4,0.2788,0.363,49,5,2,3,3.75,1.05
"102",2011,9,"M-Square Sliders",42,12,39,2,0.3544,0.5376,50,5,4,4,2.366,1.113
"103",2011,9,"KC Black Stars",40,9,52,10,0.3515,0.4456,60,5,5,6,3.309,0.985
"104",2011,9,"Team Lopez",49,12,47,7,0.4038,0.4943,34,5,1,2,3.284,1.135
"105",2011,9,"$1 Hot Dog Night",46,9,47,13,0.3513,0.4932,53,3,3,7,5.276,1.466
"106",2011,9,"Kansas Sleazy",38,4,34,4,0.3841,0.4009,49,3,3,4,4.167,1.444
"107",2011,9,"6-4-3 Dobermans",39,8,38,7,0.3189,0.4137,24,1,2,3,7.057,1.739
"108",2011,9,"StraightEdge Racers",33,9,30,6,0.3579,0.4405,76,6,5,4,4.209,1.243
"109",2011,10,"Have You Seen My Baseball?",34,15,44,5,0.3333,0.4569,55,6,3,7,2.878,1.036
"110",2011,10,"Over The Baggy",28,6,31,8,0.38,0.45,33,1,2,4,4.74,1.511
"111",2011,10,"Rage Against  The MaSHEEN!",40,10,48,8,0.3371,0.449,63,7,3,4,3.517,1.248
"112",2011,10,"Team Mitchell",32,7,42,8,0.3077,0.369,33,2,2,6,4.286,1.095
"113",2011,10,"M-Square Sliders",43,10,41,4,0.3781,0.4669,49,4,2,3,4.005,1.451
"114",2011,10,"KC Black Stars",48,10,43,4,0.394,0.4864,65,7,6,3,2.959,1.178
"115",2011,10,"Team Lopez",40,12,50,8,0.3709,0.5636,43,5,4,1,2.355,1.116
"116",2011,10,"$1 Hot Dog Night",43,11,47,3,0.3121,0.461,53,6,3,4,5.559,1.412
"117",2011,10,"Kansas Sleazy",41,11,36,5,0.3171,0.4367,75,8,9,8,4.815,1.448
"118",2011,10,"6-4-3 Dobermans",32,4,30,3,0.3132,0.4091,52,5,5,2,3.557,1.078
"119",2011,10,"StraightEdge Racers",37,17,41,1,0.3333,0.5485,61,9,7,3,1.673,1.049
"120",2011,10,"The Green Monsters",39,7,34,5,0.3229,0.4008,76,7,7,0,2.408,1.183
"121",2011,11,"Team Mitchell",37,7,34,6,0.3333,0.3913,68,6,5,8,1.989,1.011
"122",2011,11,"Have You Seen My Baseball?",33,5,21,10,0.2842,0.341,48,3,4,7,3.857,1.131
"123",2011,11,"KC Black Stars",38,9,36,9,0.3239,0.4014,58,3,3,3,4.374,1.508
"124",2011,11,"Rage Against  The MaSHEEN!",38,8,33,10,0.3385,0.4286,69,6,6,0,3.086,1.176
"125",2011,11,"$1 Hot Dog Night",39,10,42,4,0.3413,0.4982,70,6,3,3,2.935,1.265
"126",2011,11,"M-Square Sliders",44,7,30,3,0.3581,0.4248,46,4,5,4,3.724,1.034
"127",2011,11,"6-4-3 Dobermans",19,4,19,7,0.303,0.3726,46,4,1,1,4.395,1.372
"128",2011,11,"Team Lopez",35,8,41,7,0.3509,0.4585,49,5,5,0,3.896,1.328
"129",2011,11,"The Green Monsters",44,8,39,4,0.3433,0.4444,53,5,3,1,3.375,1.223
"130",2011,11,"Kansas Sleazy",32,5,30,10,0.3023,0.3346,55,7,6,3,2.584,0.947
"131",2011,11,"Over The Baggy",31,7,22,9,0.3891,0.4388,23,1,0,5,5.299,1.738
"132",2011,11,"StraightEdge Racers",35,8,32,3,0.3759,0.4937,78,7,4,3,3.068,1.148
"133",2011,12,"$1 Hot Dog Night",39,8,31,7,0.3393,0.4514,58,5,2,6,3.898,1.267
"134",2011,12,"KC Black Stars",36,8,34,4,0.3186,0.3865,69,4,4,6,4.405,1.2
"135",2011,12,"Team Mitchell",29,9,36,9,0.3692,0.4913,52,3,3,4,3.247,1.177
"136",2011,12,"6-4-3 Dobermans",28,4,23,5,0.3668,0.4222,19,3,2,1,4.05,1.613
"137",2011,12,"Over The Baggy",28,5,32,3,0.3387,0.3674,46,5,3,7,2.793,1.069
"138",2011,12,"The Green Monsters",27,8,26,7,0.3133,0.4104,36,5,2,3,2.236,1.395
